Category: All categories

Week,Airbnb: (United States)
2013-10-06,12
2013-10-13,11
2013-10-20,11
2013-10-27,10
2013-11-03,13
2013-11-10,12
2013-11-17,11
2013-11-24,9
2013-12-01,10
2013-12-08,10
2013-12-15,10
2013-12-22,12
2013-12-29,13
2014-01-05,14
2014-01-12,16
2014-01-19,15
2014-01-26,14
2014-02-02,13
2014-02-09,14
2014-02-16,14
2014-02-23,15
2014-03-02,16
2014-03-09,17
2014-03-16,21
2014-03-23,18
2014-03-30,17
2014-04-06,18
2014-04-13,20
2014-04-20,23
2014-04-27,20
2014-05-04,20
2014-05-11,22
2014-05-18,21
2014-05-25,20
2014-06-01,22
2014-06-08,21
2014-06-15,22
2014-06-22,24
2014-06-29,24
2014-07-06,26
2014-07-13,32
2014-07-20,32
2014-07-27,28
2014-08-03,28
2014-08-10,25
2014-08-17,25
2014-08-24,24
2014-08-31,22
2014-09-07,22
2014-09-14,23
2014-09-21,22
2014-09-28,21
2014-10-05,23
2014-10-12,22
2014-10-19,20
2014-10-26,18
2014-11-02,20
2014-11-09,19
2014-11-16,18
2014-11-23,16
2014-11-30,18
2014-12-07,19
2014-12-14,18
2014-12-21,19
2014-12-28,24
2015-01-04,24
2015-01-11,24
2015-01-18,25
2015-01-25,24
2015-02-01,23
2015-02-08,24
2015-02-15,25
2015-02-22,26
2015-03-01,27
2015-03-08,27
2015-03-15,28
2015-03-22,28
2015-03-29,30
2015-04-05,31
2015-04-12,29
2015-04-19,32
2015-04-26,36
2015-05-03,37
2015-05-10,38
2015-05-17,38
2015-05-24,38
2015-05-31,40
2015-06-07,42
2015-06-14,41
2015-06-21,42
2015-06-28,44
2015-07-05,42
2015-07-12,45
2015-07-19,48
2015-07-26,47
2015-08-02,45
2015-08-09,43
2015-08-16,44
2015-08-23,39
2015-08-30,39
2015-09-06,35
2015-09-13,34
2015-09-20,34
2015-09-27,33
2015-10-04,34
2015-10-11,35
2015-10-18,32
2015-10-25,31
2015-11-01,36
2015-11-08,34
2015-11-15,30
2015-11-22,28
2015-11-29,30
2015-12-06,31
2015-12-13,32
2015-12-20,34
2015-12-27,39
2016-01-03,39
2016-01-10,36
2016-01-17,38
2016-01-24,40
2016-01-31,40
2016-02-07,42
2016-02-14,42
2016-02-21,44
2016-02-28,43
2016-03-06,42
2016-03-13,42
2016-03-20,43
2016-03-27,44
2016-04-03,44
2016-04-10,41
2016-04-17,45
2016-04-24,49
2016-05-01,50
2016-05-08,52
2016-05-15,57
2016-05-22,60
2016-05-29,60
2016-06-05,64
2016-06-12,60
2016-06-19,69
2016-06-26,65
2016-07-03,58
2016-07-10,58
2016-07-17,58
2016-07-24,57
2016-07-31,56
2016-08-07,54
2016-08-14,53
2016-08-21,51
2016-08-28,51
2016-09-04,48
2016-09-11,46
2016-09-18,46
2016-09-25,43
2016-10-02,47
2016-10-09,45
2016-10-16,46
2016-10-23,45
2016-10-30,45
2016-11-06,39
2016-11-13,46
2016-11-20,44
2016-11-27,46
2016-12-04,43
2016-12-11,41
2016-12-18,42
2016-12-25,53
2017-01-01,59
2017-01-08,60
2017-01-15,56
2017-01-22,58
2017-01-29,58
2017-02-05,63
2017-02-12,60
2017-02-19,63
2017-02-26,63
2017-03-05,68
2017-03-12,66
2017-03-19,69
2017-03-26,67
2017-04-02,66
2017-04-09,66
2017-04-16,67
2017-04-23,65
2017-04-30,66
2017-05-07,66
2017-05-14,68
2017-05-21,72
2017-05-28,75
2017-06-04,75
2017-06-11,78
2017-06-18,83
2017-06-25,84
2017-07-02,82
2017-07-09,86
2017-07-16,82
2017-07-23,85
2017-07-30,83
2017-08-06,79
2017-08-13,71
2017-08-20,67
2017-08-27,68
2017-09-03,64
2017-09-10,59
2017-09-17,58
2017-09-24,60
2017-10-01,59
2017-10-08,63
2017-10-15,60
2017-10-22,56
2017-10-29,54
2017-11-05,58
2017-11-12,56
2017-11-19,51
2017-11-26,57
2017-12-03,55
2017-12-10,52
2017-12-17,56
2017-12-24,69
2017-12-31,77
2018-01-07,78
2018-01-14,80
2018-01-21,77
2018-01-28,81
2018-02-04,76
2018-02-11,77
2018-02-18,83
2018-02-25,85
2018-03-04,83
2018-03-11,84
2018-03-18,85
2018-03-25,81
2018-04-01,83
2018-04-08,79
2018-04-15,79
2018-04-22,79
2018-04-29,76
2018-05-06,84
2018-05-13,84
2018-05-20,89
2018-05-27,88
2018-06-03,89
2018-06-10,93
2018-06-17,94
2018-06-24,98
2018-07-01,98
2018-07-08,100
2018-07-15,96
2018-07-22,100
2018-07-29,94
2018-08-05,89
2018-08-12,83
2018-08-19,81
2018-08-26,80
2018-09-02,72
2018-09-09,72
2018-09-16,71
2018-09-23,69
2018-09-30,70
