zipcode,ZVRI
60601,1909.00
60602,1546.00
60603,1593.00
60604,1739.00
60605,1780.00
60606,1829.00
60607,1896.00
60608,1636.00
60609,1434.00
60610,1793.00
60611,1860.00
60612,1650.00
60613,1632.00
60614,2196.00
60615,1541.00
60616,1650.00
60617,1355.00
60618,1941.00
60619,1391.00
60620,1394.00
60621,1340.00
60622,2201.00
60623,1402.00
60624,1440.00
60625,1772.00
60626,1465.00
60628,1353.00
60629,1446.00
60630,1887.00
60631,1997.00
60632,1491.00
60633,1356.00
60634,1786.00
60636,1340.00
60637,1400.00
60638,1549.00
60639,1646.00
60640,1618.00
60641,1798.00
60642,2185.00
60643,1440.00
60644,1454.00
60645,1595.00
60646,2266.00
60647,1917.00
60649,1341.00
60651,1481.00
60652,1475.00
60653,1611.00
60654,1773.00
60655,1667.00
60656,1835.00
60657,1951.00
60659,1786.00
60660,1540.00
60661,1795.00
