,host_response_rate,host_is_superhost,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,zvi,Number_of_days_as_host,number_of_amenities,review_period
0,100,t,1,1.0,1.0,1.0,50,0,20,1,25,20,44,132,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1400,3693.0,33,1311.0
1,100,f,3,0.0,1.0,1.0,48,0,0,1,0,52,82,41,95.0,10.0,9.0,10.0,10.0,8.0,10.0,f,flexible,1400,2479.0,2,2275.0
2,100,t,3,1.0,1.0,1.0,59,0,0,2,15,29,59,245,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1400,1818.0,36,1664.0
3,100,f,6,1.5,3.0,3.0,165,0,30,4,25,33,51,72,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1400,1664.0,22,1483.0
4,100,f,2,1.5,1.0,1.0,94,0,15,1,20,7,7,45,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1400,1664.0,18,1431.0
5,100,f,2,1.5,1.0,1.0,84,0,0,1,0,0,0,3,100.0,9.0,9.0,10.0,10.0,9.0,10.0,f,moderate,1400,1664.0,9,364.0
6,100,f,8,1.0,2.0,2.0,67,0,55,1,10,25,55,18,95.0,10.0,10.0,10.0,10.0,8.0,9.0,f,moderate,1400,2333.0,41,1196.0
7,0,t,3,1.0,1.0,1.0,55,200,10,2,17,0,0,88,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1400,1231.0,40,1126.0
8,100,f,2,1.0,2.0,1.0,62,0,10,1,10,52,82,84,96.0,10.0,10.0,10.0,10.0,8.0,10.0,f,strict_14_with_grace_period,1400,1259.0,23,1144.0
9,100,f,1,1.0,1.0,1.0,35,0,0,1,0,58,88,13,95.0,9.0,9.0,10.0,10.0,9.0,9.0,f,flexible,1400,1218.0,2,1156.0
10,100,f,2,1.0,1.0,1.0,49,0,0,1,10,58,88,45,90.0,9.0,9.0,9.0,10.0,8.0,9.0,f,moderate,1400,1218.0,12,511.0
11,0,t,3,1.0,1.0,2.0,41,200,10,2,15,0,0,51,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,1400,1231.0,22,1150.0
12,100,t,2,1.0,1.0,1.0,40,0,7,2,50,39,66,256,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1400,1143.0,40,1067.0
13,100,f,2,2.0,1.0,1.0,45,0,0,1,15,45,75,53,92.0,10.0,9.0,10.0,10.0,8.0,10.0,f,strict_14_with_grace_period,1400,1709.0,25,704.0
14,100,f,2,2.0,1.0,1.0,45,0,0,1,15,21,51,58,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1400,1709.0,25,704.0
15,100,f,2,2.0,1.0,2.0,48,0,0,1,15,45,75,57,92.0,9.0,9.0,10.0,10.0,8.0,9.0,f,strict_14_with_grace_period,1400,1709.0,24,715.0
16,100,f,2,2.0,1.0,1.0,45,0,0,1,15,52,82,36,91.0,9.0,9.0,9.0,10.0,8.0,9.0,f,strict_14_with_grace_period,1400,1709.0,32,713.0
17,100,f,2,2.0,1.0,1.0,45,0,0,1,15,50,80,42,93.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1400,1709.0,34,707.0
18,100,f,6,1.0,3.0,5.0,115,200,0,6,15,34,64,146,93.0,10.0,9.0,10.0,10.0,9.0,10.0,f,moderate,1400,1016.0,22,924.0
19,100,t,6,1.0,2.0,4.0,114,300,75,3,15,41,71,46,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1400,974.0,35,855.0
20,100,t,4,1.0,1.0,2.0,99,300,65,3,10,10,37,37,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1400,974.0,35,478.0
21,100,t,6,1.0,2.0,4.0,114,300,75,3,15,45,75,32,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1400,974.0,39,819.0
22,100,f,2,2.0,1.0,1.0,45,0,10,1,15,12,42,11,78.0,8.0,9.0,9.0,9.0,8.0,9.0,f,strict_14_with_grace_period,1400,1503.0,30,406.0
23,100,f,2,1.0,1.0,1.0,40,0,10,1,15,12,38,17,92.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1400,1503.0,28,628.0
